Sample,Data
Sample 1,4
Sample 1,2
Sample 1,1
Sample 1,4
Sample 1,2
Sample 1,2
Sample 1,2
Sample 1,3
Sample 1,3
Sample 1,3
Sample 1,2
Sample 1,4
Sample 1,2
Sample 1,3
Sample 1,3
Sample 1,3
Sample 1,6
Sample 1,4
Sample 1,3
Sample 1,3
Sample 1,2
Sample 1,2
Sample 1,4
Sample 1,2
Sample 1,5
Sample 1,1
Sample 1,4
Sample 1,1
Sample 1,3
Sample 1,4
Sample 1,4
Sample 1,2
Sample 1,4
Sample 1,5
Sample 1,2
Sample 1,5
Sample 1,1
Sample 1,4
Sample 1,3
Sample 1,4
Sample 1,6
Sample 1,5
Sample 1,3
Sample 1,1
Sample 1,2
Sample 1,2
Sample 1,1
Sample 1,6
Sample 1,5
Sample 1,6
Sample 1,4
Sample 1,5
Sample 1,1
Sample 1,5
Sample 1,1
Sample 1,1
Sample 1,3
Sample 1,3
Sample 1,3
Sample 1,1
Sample 1,2
Sample 1,5
Sample 1,1
Sample 1,6
Sample 1,1
Sample 1,2
Sample 1,1
Sample 1,5
Sample 1,1
Sample 1,6
Sample 1,6
Sample 1,2
Sample 1,6
Sample 1,1
Sample 1,5
Sample 1,6
Sample 1,1
Sample 1,4
Sample 1,1
Sample 1,1
Sample 1,6
Sample 1,3
Sample 1,2
Sample 1,6
Sample 1,6
Sample 1,6
Sample 1,4
Sample 1,3
Sample 1,2
Sample 1,5
Sample 1,1
Sample 1,4
Sample 1,6
Sample 1,5
Sample 1,1
Sample 1,2
Sample 1,6
Sample 1,6
Sample 1,6
Sample 1,1
Sample 2,5
Sample 2,4
Sample 2,2
Sample 2,5
Sample 2,3
Sample 2,6
Sample 2,6
Sample 2,6
Sample 2,4
Sample 2,6
Sample 2,5
Sample 2,1
Sample 2,5
Sample 2,1
Sample 2,6
Sample 2,6
Sample 2,5
Sample 2,3
Sample 2,1
Sample 2,5
Sample 2,4
Sample 2,3
Sample 2,2
Sample 2,6
Sample 2,3
Sample 2,1
Sample 2,2
Sample 2,1
Sample 2,6
Sample 2,4
Sample 2,6
Sample 2,3
Sample 2,3
