"행정시별(1)",행정시별(2),제주 인구(계) (명),제주 인구(남) (명),제주 인구(여) (명),한국인 세대수 (세대),한국인(계) (명),한국인(남) (명),한국인(여) (명),외국인(계) (명),외국인(남) (명),외국인(여) (명)
"제주특별자치도",소계,697578,351449,346129,302033,674635,338609,336026,22943,12840,10103
"제주시",소계,507358,254716,252642,216202,492466,246588,245878,14892,8128,6764
"제주시",한 림 읍,24609,13070,11539,10551,21249,10886,10363,3360,2184,1176
"제주시",애 월 읍,37898,19529,18369,16842,36913,19025,17888,985,504,481
"제주시",구 좌 읍,16129,8397,7732,7898,15546,7991,7555,583,406,177
"제주시",조 천 읍,25905,13268,12637,11436,25339,12958,12381,566,310,256
"제주시",한 경 면,9422,4819,4603,4802,9029,4555,4474,393,264,129
"제주시",추 자 면,1963,1177,786,1006,1677,903,774,286,274,12
"제주시",우 도 면,1766,919,847,966,1740,908,832,26,11,15
"제주시",일도 1동,2664,1410,1254,1511,2584,1362,1222,80,48,32
"제주시",일도 2동,33353,16363,16990,13373,33062,16280,16782,291,83,208
"제주시",이도 1동,7808,3880,3928,3803,7683,3826,3857,125,54,71
"제주시",이도 2동,50423,24694,25729,20767,49834,24446,25388,589,248,341
"제주시",삼도 1동,13719,6698,7021,6025,13586,6646,6940,133,52,81
"제주시",삼도 2동,8275,4305,3970,4101,8005,4149,3856,270,156,114
"제주시",용담 1동,7140,3647,3493,3456,7050,3609,3441,90,38,52
"제주시",용담 2동,15014,7527,7487,6481,14798,7458,7340,216,69,147
"제주시",건 입 동,9325,4786,4539,4152,9091,4641,4450,234,145,89
"제주시",화 북 동,24819,12341,12478,9709,24456,12150,12306,363,191,172
"제주시",삼 양 동,26079,13064,13015,9779,25837,12974,12863,242,90,152
"제주시",봉 개 동,5372,2785,2587,2346,5285,2747,2538,87,38,49
"제주시",아 라 동,38137,18975,19162,15412,37070,18421,18649,1067,554,513
"제주시",오 라 동,15966,8053,7913,6117,15746,7956,7790,220,97,123
"제주시",연    동,43916,21454,22462,20883,41910,20519,21391,2006,935,1071
"제주시",노 형 동,57190,28147,29043,22651,55087,27019,28068,2103,1128,975
"제주시",외 도 동,22353,11175,11178,8676,22055,11059,10996,298,116,182
"제주시",이 호 동,4746,2467,2279,1941,4572,2386,2186,174,81,93
"제주시",도 두 동,3367,1766,1601,1518,3262,1714,1548,105,52,53
"서귀포시",소계,190220,96733,93487,85831,182169,92021,90148,8051,4712,3339
"서귀포시",대 정 읍,23451,11481,11970,10418,21761,10555,11206,1690,926,764
"서귀포시",남 원 읍,19469,10166,9303,8637,18766,9698,9068,703,468,235
"서귀포시",성 산 읍,17072,9166,7906,8133,15412,8058,7354,1660,1108,552
"서귀포시",안 덕 면,12523,6440,6083,6196,11982,6174,5808,541,266,275
"서귀포시",표 선 면,12691,6547,6144,6175,12325,6306,6019,366,241,125
"서귀포시",송 산 동,4658,2579,2079,2025,4171,2202,1969,487,377,110
"서귀포시",정 방 동,2315,1169,1146,1309,2196,1109,1087,119,60,59
"서귀포시",중 앙 동,3592,1703,1889,2029,3519,1668,1851,73,35,38
"서귀포시",천 지 동,3636,1833,1803,1972,3524,1772,1752,112,61,51
"서귀포시",효 돈 동,5324,2703,2621,2315,5253,2655,2598,71,48,23
"서귀포시",영 천 동,5371,2786,2585,2474,5199,2661,2538,172,125,47
"서귀포시",동 홍 동,24222,11828,12394,9403,23233,11351,11882,989,477,512
"서귀포시",서 홍 동,10746,5327,5419,4358,10618,5251,5367,128,76,52
"서귀포시",대 륜 동,14963,7564,7399,6494,14765,7464,7301,198,100,98
"서귀포시",대 천 동,14110,7176,6934,6382,13921,7100,6821,189,76,113
"서귀포시",중 문 동,11877,6123,5754,5527,11586,5975,5611,291,148,143
"서귀포시",예 래 동,4200,2142,2058,1984,3938,2022,1916,262,120,142
