행정시별(1),행정시별(2),제주 인구(계) (명),제주 인구(남) (명),제주 인구(여) (명)
제주특별자치도,소계,699751,352303,347448
제주시,소계,507594,254567,253027
제주시,한 림 읍,24085,12991,11094
제주시,애 월 읍,38738,19862,18876
제주시,구 좌 읍,16036,8305,7731
제주시,조 천 읍,26330,13504,12826
제주시,한 경 면,9908,5033,4875
제주시,추 자 면,1850,1127,723
제주시,우 도 면,1693,891,802
제주시,일도 1동,2386,1267,1119
제주시,일도 2동,32233,15803,16430
제주시,이도 1동,7806,3852,3954
제주시,이도 2동,49859,24284,25575
제주시,삼도 1동,13351,6542,6809
제주시,삼도 2동,8066,4188,3878
제주시,용담 1동,6925,3568,3357
제주시,용담 2동,14319,7252,7067
제주시,건 입 동,9092,4653,4439
제주시,화 북 동,24089,11990,12099
제주시,삼 양 동,26573,13318,13255
제주시,봉 개 동,5367,2777,2590
제주시,아 라 동,40274,19829,20445
제주시,오 라 동,16196,8168,8028
제주시,연    동,44020,21467,22553
제주시,노 형 동,57725,28390,29335
제주시,외 도 동,22720,11335,11385
제주시,이 호 동,4566,2408,2158
제주시,도 두 동,3387,1763,1624
서귀포시,소계,192157,97736,94421
서귀포시,대 정 읍,24020,11748,12272
서귀포시,남 원 읍,19140,10064,9076
서귀포시,성 산 읍,16766,9171,7595
서귀포시,안 덕 면,12923,6718,6205
서귀포시,표 선 면,12944,6684,6260
서귀포시,송 산 동,4280,2354,1926
서귀포시,정 방 동,2262,1128,1134
서귀포시,중 앙 동,3269,1561,1708
서귀포시,천 지 동,3591,1806,1785
서귀포시,효 돈 동,5380,2708,2672
서귀포시,영 천 동,5439,2793,2646
서귀포시,동 홍 동,24314,11860,12454
서귀포시,서 홍 동,11376,5643,5733
서귀포시,대 륜 동,15789,7957,7832
서귀포시,대 천 동,13988,7067,6921
서귀포시,중 문 동,12633,6403,6230
서귀포시,예 래 동,4043,2071,1972
